water_system_no,water_system_name,type,status,county,source_type,link
SC3250016,BGWC FALCON RANCHES (SC3250016),C,A,LEXINGTON,GW,
SC4650056,BGWC FARM POND (SC4650056),C,A,YORK,GW,
SC4050012,BGWC FARROWWOOD ESTATES (SC4050012),C,A,RICHLAND,SWP,
SC0450032,BGWC FIELDCREST (SC0450032),C,A,ANDERSON,GW,
SC3250038,BGWC FOX TRAIL (SC3250038),C,A,LEXINGTON,GW,
SC4650008,BGWC FOXWOOD (SC4650008),C,A,YORK,SWP,
SC3250058,BGWC GLENN VILLAGE II (SC3250058),C,A,LEXINGTON,GW,
SC0450006,BGWC GREENFOREST (SC0450006),C,A,ANDERSON,SWP,
SC3270302,BGWC HARBORSIDE (SC3270302),C,A,LEXINGTON,SWP,
SC4050011,BGWC HARMON HILL ESTATES (SC4050011),C,A,RICHLAND,GW,
SC0450063,BGWC HAYNIE BUILDERS (SC0450063),C,A,ANDERSON,GW,
SC3250015,BGWC HEATHERWOOD-BLUE RIDGE (SC3250015),C,A,LEXINGTON,GW,
SC4650025,BGWC HICKORY HILL (SC4650025),C,A,YORK,SWP,
SC0450072,BGWC HIDDEN LAKE (SC0450072),C,A,ANDERSON,SWP,
SC4650040,BGWC HIDDEN LAKES (SC4650040),C,A,YORK,SWP,
SC3250073,BGWC HIDDEN VALLEY (SC3250073),C,A,LEXINGTON,GW,
SC0450036,BGWC HILL AND DALE (SC0450036),C,A,ANDERSON,SWP,
SC3250072,BGWC HILTON PLACE (SC3250072),C,A,LEXINGTON,GW,
SC0250005,BGWC HUNTERS GLEN S/D (0250005),C,A,AIKEN,GW,
SC3250012,BGWC I-20 (SC3250012),C,A,LEXINGTON,SWP,
SC3250017,BGWC IDLEWOOD (SC3250017),C,A,LEXINGTON,SWP,
SC3250020,BGWC INDIAN COVE S/D (SC3250020),C,A,LEXINGTON,SWP,
SC3250066,BGWC INDIAN FORK-40 LOVE (3250066),C,A,LEXINGTON,SWP,
SC3250051,BGWC INDIAN PINES (SC3250051),C,A,LEXINGTON,SWP,
SC4650041,BGWC KIMS ACRES (SC4650041),C,A,YORK,GW,
SC2350011,BGWC KINGSWOOD S/D (SC2350011),C,A,GREENVILLE,GW,
SC3250054,BGWC LAKE VILLAGE (SC3250054),C,A,LEXINGTON,GW,
SC0450065,BGWC LAKEWOOD (SC0450065),C,A,ANDERSON,SWP,
SC3250005,BGWC LAKEWOOD ESTATES (SC3250005),C,A,LEXINGTON,GW,
SC3270300,BGWC LANDS END CONDOS (SC3270300),C,A,LEXINGTON,SWP,
SC4660095,BGWC LESSLIEDALE (SC4660095),C,A,YORK,GW,
