water_system_no,water_system_name,type,status,county,source_type,link
SC2774001,CONGAREE CORE AREA  (SC2774001),NC,A,JASPER,GW,
SC4070600,CONGAREE NATIONAL PARK (4070600),NC,A,RICHLAND,GW,
SC2610008,CONWAY CITY OF (SC2610008),C,A,HORRY,SWP,
SC2620001,CONWAY RURAL (SC2620001),C,A,HORRY,SWP,
SC2770913,COOLERS GROCERY (2770913),NC,A,JASPER,GW,
SC0371007,COOSAW AG LLC (SC0371007),NC,A,ALLENDALE,GW,
SC0371006,COOSAW FARMS LABOR CAMP (0371006),NC,A,ALLENDALE,GW,
SC2770215,COOSAWHATCHIE GENERAL STORE (2770215),NC,A,JASPER,GW,
SC2570912,CORNERSTONE GENERAL STORE (SC2570912),NC,A,HAMPTON,GW,
SC1570212,COTTAGEVILLE BP (1570212),NC,A,COLLETON,GW,
SC1570209,COTTAGEVILLE EXPRESS (SC1570209),NC,A,COLLETON,GW,
SC1572006,COTTAGEVILLE GOOD EATS (SC1572006),NC,A,COLLETON,GW,
SC4171001,COTTON HOPE CAMP-ACROSS THE CREEK,NC,A,SALUDA,GW,
SC2450057,COUNTRY ACRES (SC2450057),C,A,GREENWOOD,GW,
SC0973000,COUNTRY CLEAR INC (SC0973000),NC,A,CALHOUN,GWP,
SC4670989,COUNTRY CLUB MARKET (SC4670989),NC,A,YORK,GW,
SC1870915,COUNTRY CORNER 8 (SC1870915),NC,A,DORCHESTER,GW,
SC3260187,COUNTRY PARK (SC3260187),C,A,LEXINGTON,GW,
SC1360008,COUNTRY VILLAGE MHP (SC1360008),C,A,CHESTERFIELD,GW,
SC4170901,COUNTY LINE CONV STORE (SC4170901),NC,A,SALUDA,GW,
SC2110012,COWARD TOWN OF (SC2110012),C,A,FLORENCE,GW,
SC3970303,CRAWFORD EDGE (SC3970303),C,A,PICKENS,SWP,
SC0870856,CRAWFORD LANDING (0870856),NC,A,BERKELEY,GW,
SC0170906,CRAWFORDS STORE (0170906),NC,A,ABBEVILLE,GW,
SC4360011,CRESCENT MHP (SC4360011),C,A,SUMTER,GW,
SC4060001,CRESTHAVEN MHP (SC4060001),C,A,RICHLAND,GW,
SC1560006,CROSBYS MHP (SC1560006),NC,A,COLLETON,GW,
SC1572001,CROSCO EXPRESS #2 (SC1572001),NC,A,COLLETON,GW,
SC1570917,CROSCO EXPRESS (1570917),NC,A,COLLETON,GW,
SC0870284,CROSS FOOD MART (0870284),NC,A,BERKELEY,GW,
SC4074006,CROSSROAD COMM CONV STORE  (SC4074006),NC,A,RICHLAND,GW,
SC4670967,CROSSROAD MART (SC4670967),NC,A,YORK,GW,
SC1872003,CROSSROADS BBQ (SC1872003),NC,A,DORCHESTER,GW,
SC3272004,CROSSROADS CAFE (SC3272004),NC,A,LEXINGTON,GW,
SC3250065,CRYSTAL PINES (SC3250065),C,A,LEXINGTON,GW,
SC1470304,CYPRESS POINTE CONDOS (SC1470304),C,A,CLARENDON,GW,
SC3870220,CYPRESS SHORES HOLDINGS LLC (SC3870220),NC,A,ORANGEBURG,GW,
SC4672017,D'POUR HOUSE BAR (SC4672017),NC,A,YORK,GW,
SC3920008,DACUSVILLE-CEDAR ROCK WT CO (SC3920008),C,A,PICKENS,SWP,
SC4320001,DALZELL WATER DISTRICT (SC4320001),C,A,SUMTER,GW,
SC1120001,DANIEL MORGAN WATER DISTRICT (1120001),C,A,CHEROKEE,SWP,
SC4272003,DARBY'S FOOD & SPIRITS (SC4272003),NC,A,SPARTANBURG,GW,
SC1610001,DARLINGTON CITY OF (SC1610001),C,A,DARLINGTON,GW,
SC1620001,DARLINGTON COUNTY W&SA (SC1620001),C,A,DARLINGTON,GW,
SC0750036,DAUFUSKIE ISL UTIL-HAIG POINT (0750036),C,A,BEAUFORT,GW,
SC0750043,DAUFUSKIE ISL UTIL-MELROSE (SC0750043),C,A,BEAUFORT,GW,
SC1850009,DCWA CALOMET VALLEY (1850009),C,A,DORCHESTER,SWP,
SC1820001,DCWA KNIGHTSVILLE (SC1820001),C,A,DORCHESTER,SWP,
SC1820003,DCWA TRANQUIL ACRES (SC1820003),C,A,DORCHESTER,SWP,
SC1820008,DCWS ASHLEY PHOSPHATE (SC1820008),C,A,DORCHESTER,SWP,
SC1870903,DCWS BUILDING (1870903),NTNC,A,DORCHESTER,GW,
SC1850015,DCWS CALEB COURT (SC1850015),C,A,DORCHESTER,SWP,
SC1820007,DCWS CONOFLOW (SC1820007),C,A,DORCHESTER,GW,
SC1850010,DCWS EDISTO TRIBAL COUNCIL (1850010),C,A,DORCHESTER,GW,
SC1820009,DCWS HIGHWAY 17A (SC1820009),C,A,DORCHESTER,GWP,
SC1870914,DCWS I-95 (SC1870914),C,A,DORCHESTER,GW,
SC1820002,DCWS REEVESVILLE (SC1820002),C,A,DORCHESTER,GW,
SC1850011,DCWS SOUTHERN PALMS (SC1850011),C,A,DORCHESTER,SWP,
SC1870119,DCWS WOODLAND HIGH SCHOOL (1870119),NTNC,A,DORCHESTER,GW,
SC1850014,DCWS/CLAY FIELD DRIVE (SC1850014),C,A,DORCHESTER,SWP,
SC1072016,DEAS RESTAURANT WATER SYSTEM (SC1072016),NC,A,CHARLESTON,GW,
SC1079011,DEEP WATER VINEYARD (SC1079011),NC,A,CHARLESTON,GW,
SC0270409,DELUXE INN (SC0270409),NC,A,AIKEN,GW,
SC0510002,DENMARK TOWN OF (SC0510002),C,A,BAMBERG,GW,
SC2030004,DESCI VC SUMMER NUCLEAR STA (SC2030004),NTNC,A,FAIRFIELD,SW,
SC4030001,DESCI WATEREE STATION (SC4030001),NTNC,A,RICHLAND,GW,
SC0930003,DEVRO-TEEPAK (SC0930003),NTNC,A,CALHOUN,GWP,
SC1080038,DEWEES ISLAND RO DIS STA (SC1080038),NC,A,CHARLESTON,GWP,
SC1050011,DEWEES UTILITIES (SC1050011),C,A,CHARLESTON,GW,
SC3770807,DIAKONIA CENTER (3770807),NC,A,OCONEE,GW,
SC0170105,DIAMOND HILL SCHOOL (SC0170105),NTNC,A,ABBEVILLE,GW,
SC1710001,DILLON CITY OF (SC1710001),C,A,DILLON,GW,
SC4679020,DOLLAR GENERAL #13478 CATAWBA (4679020),NC,A,YORK,GW,
SC1574003,DOLLAR GENERAL - CANADYS (SC1574003),NC,A,COLLETON,GW,
SC4674011,DOLLAR GENERAL - EASTVIEW (SC4674011),NC,A,YORK,GW,
SC4674012,DOLLAR GENERAL - MCCONNELLS (SC4674012),NC,A,YORK,GW,
SC3974000,DOLLAR GENERAL 19470 (SC3974000),NC,A,PICKENS,GW,
SC0174001,DOLLAR GENERAL ABBEVILLE (SC0174001),NC,A,ABBEVILLE,GW,
SC1174001,DOLLAR GENERAL BLACKSBURG (SC1174001),NC,A,CHEROKEE,GW,
SC3670917,DOLLAR GENERAL CHAPPELLS  (SC3670917),NC,A,NEWBERRY,GW,
SC4070983,DOLLAR GENERAL GADSDEN (SC4070983),NC,A,RICHLAND,GW,
SC1574000,DOLLAR GENERAL JACKSONBORO (1574000),NC,A,COLLETON,GW,
SC0274013,DOLLAR GENERAL KITCHINGS MILL (0274013),NC,A,AIKEN,GW,
SC0270931,DOLLAR GENERAL OLD 96 INDIAN TRAIL,NC,A,AIKEN,GW,
SC0270932,DOLLAR GENERAL SILVER BLUFF (SC0270932),NC,A,AIKEN,GW,
SC3279025,DOLLAR GENERAL-FAIRVIEW (3279025),NC,A,LEXINGTON,GW,
SC4674003,DOLLAR GENERAL-HWY 324 (SC4674003),NC,A,YORK,GW,
SC4074005,DOLLAR GENERAL-LOWER RICHLAND (SC4074005,NC,A,RICHLAND,GW,
SC1070008,DOLLAR GENERAL-MCCLELLANVILLE(SC1070008),NC,A,CHARLESTON,GW,
SC3770935,DOLLAR GENERAL-MOUNTAIN REST (3770935),NC,A,OCONEE,GW,
SC1870939,DOLLAR GENERAL-RIDGEVILLE (SC1870939),NC,A,DORCHESTER,GW,
SC3279002,DOLLAR GENERAL-SOUTH CONGAREE (3279002),NC,A,LEXINGTON,GW,
SC0120001,DONALDS-DUE WEST W&SA (SC0120001),C,A,ABBEVILLE,SWP,
SC2970907,DOOLEY FARM #1 (2970907),NC,A,LANCASTER,GW,
SC1870109,DORCHESTER CO CAREER SCHOOL (SC1870109),NTNC,A,DORCHESTER,GW,
SC1870906,DORCHESTER SHRINE CLUB (SC1870906),NC,A,DORCHESTER,GW,
SC3570904,DORN BOATING AND FISHING FAC (3570904),NC,A,MCCORMICK,GW,
SC1120003,DRAYTONVILLE WATER DIST (SC1120003),C,A,CHEROKEE,SWP,
SC4530001,DSM NUTRITIONAL PRODUCTS LLC(4530001),NTNC,A,WILLIAMSBURG,GW,
SC3730010,DUKE CONSTRUCTION YARD (SC3730010),NC,A,OCONEE,GW,
SC3730005,DUKE ENERGY-BAD CREEK ENTRANCE (3730005),NC,A,OCONEE,GW,
SC4660093,DUNCAN MHP (SC4660093),C,A,YORK,GW,
SC0670919,DYCHES FUNERAL HOME (0670919),NC,A,BARNWELL,GW,
SC1070115,E FRIERSON SCHOOL (SC1070115),NTNC,A,CHARLESTON,GW,
SC1560002,EAGLES RV CAMPGROUND (SC1560002),NC,A,COLLETON,GW,
SC4680022,EARTH FARE 632 FORT MILL,NC,A,YORK,SWP,
SC1080063,EARTH FARE CHARLESTON (SC1080063),NC,A,CHARLESTON,SWP,
SC4080011,EARTH FARE COLUMBIA (4080011),NC,A,RICHLAND,SWP,
SC4680009,EARTH FARE ROCK HILL (SC4680009),NC,A,YORK,SWP,
SC0880020,EARTH FARE SUMMERVILLE (SC0880020),NC,A,BERKELEY,SWP,
SC3920001,EASLEY CENTRAL W/D #1 (SC3920001),C,A,PICKENS,SW,
SC3920007,EASLEY CENTRAL W/D #2 (SC3920007),C,A,PICKENS,SWP,
SC3910002,EASLEY COMBINED UTIL (SC3910002),C,A,PICKENS,SW,
SC4010002,EASTOVER TOWN OF (SC4010002),C,A,RICHLAND,GW,
SC2170407,ECONOMY INN (SC2170407),NC,A,FLORENCE,GW,
SC1574007,EDEN AT GRACCEFIELD WELL (SC1574007),NC,A,COLLETON,GW,
SC1920001,EDGEFIELD CO W&SA (1920001),C,A,EDGEFIELD,SW,
SC1270103,EDGEMOOR HEADSTART (SC1270103),NTNC,A,CHESTER,GW,
SC1510006,EDISTO BEACH TOWN OF (SC1510006),C,A,COLLETON,GW,
SC0670900,EDISTO EXP STATION (SC0670900),NTNC,A,BARNWELL,GW,
SC1070684,EDISTO ISLAND SERPENTARIUM (SC1070684),NC,A,CHARLESTON,GW,
SC3270958,EDMUND RV PARK AND STORAGE (3270958),NC,A,LEXINGTON,GW,
SC0510003,EHRHARDT TOWN OF (SC0510003),C,A,BAMBERG,GW,
SC2770915,EL CHEAPO-TILLMAN (SC2770915),NC,A,JASPER,GW,
SC4672013,EL CORRAL (SC4672013),NC,A,YORK,GW,
SC0410012,ELECTRIC CITY UTILITIES (SC0410012),C,A,ANDERSON,SWP,
SC0770901,ELIJAH WASHINGTON HEALTH CTR (SC0770901),NC,A,BEAUFORT,GW,
SC0610005,ELKO TOWN OF (0610005),C,A,BARNWELL,GW,
SC3970805,ELLENBURG CAMPGD-TUCKAWAY (SC3970805),NC,A,PICKENS,GW,
SC3970680,ELLENBURG CAMPGROUND LLC (SC3970680),NC,A,PICKENS,GW,
SC1470859,ELLIOTTS LANDING & CAMPGRD (SC1470859),NC,A,CLARENDON,GW,
SC3810003,ELLOREE WATER SYSTEM (SC3810003),C,A,ORANGEBURG,GW,
SC3250088,EMERALD SHORES (SC3250088),C,A,LEXINGTON,GW,
SC1079003,EMS MEDIC 6/MAGISTRATE COURT (1079003),NC,A,CHARLESTON,GW,
SC1080069,EMS MEDIC 6/WTR DISPENSE (SC1080069),NC,A,CHARLESTON,GWP,
SC3279011,ENK 858  (3279011),NC,A,LEXINGTON,GW,
SC1070974,ENK 878 (SC1070974),NC,A,CHARLESTON,GW,
SC1470916,ENK 889 (SC1470916),NC,A,CLARENDON,GW,
SC1870205,ENK 892 (SC1870205),NC,A,DORCHESTER,GW,
SC2510002,ESTILL TOWN OF (SC2510002),C,A,HAMPTON,GW,
SC3810006,EUTAWVILLE TOWN OF (SC3810006),C,A,ORANGEBURG,GW,
SC2370909,F MART STORE (SC2370909),NC,A,GREENVILLE,GW,
SC0310004,FAIRFAX TOWN OF (SC0310004),C,A,ALLENDALE,GW,
SC1570924,FAITH CATHEDRAL FELLOWSHIP INC (1570924),C,A,COLLETON,GW,
SC3272008,FANNIE MAE'S COUNTRY STORE (SC3272008),NC,A,LEXINGTON,GW,
SC3072003,FAT DADDYS BBQ & HASH HOUSE (3072003),NC,A,LAURENS,GW,
SC1470865,FAYZ AT THE LAKE (1470865),NC,A,CLARENDON,GW,
SC4660001,FERN FOREST MHP (SC4660001),C,A,YORK,GW,
SC3270227,FISH HATCHERY FOOD MART (SC3270227),NC,A,LEXINGTON,GW,
SC1550002,FISHING CREEK POA (SC1550002),C,A,COLLETON,GW,
SC3730021,FIVE SPRINGS WATER COMPANY(SC3730021),NC,A,OCONEE,GW,
SC2110001,FLORENCE CITY OF (SC2110001),C,A,FLORENCE,SW,
SC2170235,FLORENCE FLEA MARKET (2170235),NC,A,FLORENCE,GW,
SC1010005,FOLLY BEACH CITY OF (1010005),C,A,CHARLESTON,SWP,
SC4660112,FOREST ESTATES MHP (SC4660112),C,A,YORK,GW,
SC4010501,FORT JACKSON (SC4010501),C,A,RICHLAND,SWP,
SC4074008,FORT JACKSON - WANAT RANGE (SC4074008),NC,A,RICHLAND,GW,
SC4610003,FORT MILL TOWN OF (SC4610003),C,A,YORK,SWP,
SC4660038,FORT THRILL RV PARK (SC4660038),NC,A,YORK,GW,
SC3230806,FOUR OAKS FARMS (3230806),NC,A,LEXINGTON,GW,
SC3750025,FOXWOOD HILLS (SC3750025),C,A,OCONEE,SWP,
SC1870901,FRANCIS BEIDLER FOREST (SC1870901),NC,A,DORCHESTER,GW,
SC0770236,FREEPORT MARINA VILLAGE (SC0770236),NC,A,BEAUFORT,GW,
SC4060005,FREEWAY MHP (SC4060005),C,A,RICHLAND,GW,
SC0720002,FRIPP ISLAND PSD (SC0720002),C,A,BEAUFORT,SWP,
SC4074003,FT JACKSON 4/10 AG RANGE (SC4074003),NC,A,RICHLAND,GW,
SC4070908,FT JACKSON-ALGIERS (SC4070908),NC,A,RICHLAND,GW,
SC4070981,FT JACKSON-CHAPLAIN TRAIN AREA SC4070981,NC,A,RICHLAND,GW,
SC4070938,FT JACKSON-OHIO RANGE 20 (4070938),NC,A,RICHLAND,GW,
SC4070917,FT JACKSON-OMAHA BEACH (SC4070917),NC,A,RICHLAND,GW,
SC4070651,FT JACKSON-WESTON LAKE (SC4070651),NC,A,RICHLAND,GW,
SC2510007,FURMAN TOWN OF (SC2510007),C,A,HAMPTON,GW,
SC1110001,GAFFNEY BPW (SC1110001),C,A,CHEROKEE,SW,
SC0670913,GAIL REYES SENIOR CENTER (0670913),NC,A,BARNWELL,GW,
SC0860058,GARNETT MHP (SC0860058),C,A,BERKELEY,GW,
SC3220002,GASTON RURAL WATER DIST (SC3220002),C,A,LEXINGTON,GW,
SC1874001,GATHERINGS LLC (SC1874001),NC,A,DORCHESTER,GW,
SC3950008,GAULEY FALLS 2 4 5 6 (SC3950008),C,A,PICKENS,GW,
SC3950004,GAULEY FALLS W/S (SC3950004),C,A,PICKENS,GW,
SC2220013,GCWSD CARVERS BAY (SC2220013),C,A,GEORGETOWN,GW,
SC2220011,GCWSD GARDEN CITY POINT (SC2220011),C,A,GEORGETOWN,SWP,
SC2220002,GCWSD KILSOCK WATER SYS (SC2220002),C,A,GEORGETOWN,GW,
SC2220004,GCWSD PLANTERSVILLE SYS (2220004),C,A,GEORGETOWN,GW,
SC2220007,GCWSD RED HILL (2220007),C,A,GEORGETOWN,GW,
SC2220010,GCWSD WACCAMAW NECK (SC2220010),C,A,GEORGETOWN,SW,
SC2220006,GCWSD WEDGEFIELD PLANTATION (2220006),C,A,GEORGETOWN,GW,
SC0272009,GENTRY BARBE Q BARN (0272009),NC,A,AIKEN,GW,
SC0572005,GEORGE'S CREEK CAFE (SC0572005,NC,A,BAMBERG,GW,
SC2210001,GEORGETOWN CITY OF (SC2210001),C,A,GEORGETOWN,SW,
SC2220001,GEORGETOWN RURAL COMM WA (2220001),C,A,GEORGETOWN,GW,
SC1430007,GEORGIA PACIFIC-CLARENDON (SC1430007),NTNC,A,CLARENDON,GW,
SC2510009,GIFFORD TOWN OF (SC2510009),C,A,HAMPTON,GW,
SC3220001,GILBERT-SUMMIT WD (3220001),C,A,LEXINGTON,GW,
SC0870204,GILLIGANS RESTAURANT (0870204),NC,A,BERKELEY,GW,
SC1450005,GIN POND SHORES WATER CO (SC1450005),C,A,CLARENDON,GW,
SC4660064,GLEN AT CLOVER LLC THE (SC4660064),C,A,YORK,GW,
SC1072018,GOLDEN PARADISE BAR & GRILL (SC1072018),NC,A,CHARLESTON,GW,
SC4660098,GOODS MHP (SC4660098),C,A,YORK,GW,
SC4370119,GOODWILL HEADSTART (SC4370119),NTNC,A,SUMTER,GW,
SC0810004,GOOSE CREEK CITY OF (SC0810004),C,A,BERKELEY,SWP,
SC1120004,GOUCHER WD (1120004),C,A,CHEROKEE,SWP,
SC4350008,GRANADA SUBDIVISION (SC4350008),C,A,SUMTER,GW,
SC1270921,GRANTS GROCERY (SC1270921),NC,A,CHESTER,GW,
SC1120002,GRASSY POND WATER CO INC (SC1120002),C,A,CHEROKEE,SWP,
SC1270213,GREAT FALLS MART (SC1270213),NC,A,CHESTER,GW,
SC2770107,GREAT SWAMP BAPTIST CHURCH (2770107),NTNC,A,JASPER,GW,
SC4510001,GREELEYVILLE TOWN OF (SC4510001),C,A,WILLIAMSBURG,GW,
SC4610009,GREEN EARTH PWS (SC4610009),C,A,YORK,SWP,
SC2370681,GREENVILLE OUTDOOR CENTER  (SC2370681),NC,A,GREENVILLE,GW,
SC2310001,GREENVILLE WATER (SC2310001),C,A,GREENVILLE,SW,
SC2410001,GREENWOOD CPW (2410001),C,A,GREENWOOD,SW,
SC2310005,GREER CPW (SC2310005),C,A,GREENVILLE,SW,
SC0872042,"GRUB SHACK, THE (SC0872042)",NC,A,BERKELEY,GW,
SC2620004,GSW&SA (SC2620004),C,A,HORRY,SW,
SC3310001,GSW&SA-MARION CITY OF (SC3310001),C,A,MARION,GW,
SC2620009,GSW&SA-MYRTLE BEACH (SC2620009),C,A,HORRY,SW,
SC3310003,GSW&SA-NICHOLS TOWN OF (3310003),C,A,MARION,GW,
SC4570924,H&S MINGO SHOP (4570924),NC,A,WILLIAMSBURG,GW,
SC3260090,HALTER ACRES MHP (SC3260090),C,A,LEXINGTON,GW,
SC0420007,HAMMOND W/D (SC0420007),C,A,ANDERSON,SWP,
SC2570908,HAMPTON CO INDUSTRIAL SITE (SC2570908),NTNC,A,HAMPTON,GW,
SC2510001,HAMPTON TOWN OF (SC2510001),C,A,HAMPTON,GW,
SC4672002,HANDLE BAR & GRILL (SC4672002),NC,A,YORK,GW,
SC2770914,HANDY DANS GENERAL STORE (SC2770914),NC,A,JASPER,GW,
SC0750013,HARBOR ISLAND (SC0750013),C,A,BEAUFORT,SWP,
SC2630008,HARDEE BY EVH (SC2630008),NTNC,A,HORRY,GW,
SC1830005,HARLEYVILLE CEMENT PLANT (SC1830005),NTNC,A,DORCHESTER,GW,
SC1870101,HARLEYVILLE ELEM SCHOOL (SC1870101),NTNC,A,DORCHESTER,GW,
SC1810002,HARLEYVILLE TOWN OF (SC1810002),C,A,DORCHESTER,GW,
SC2470851,HARRIS LANDING (SC2470851),NC,A,GREENWOOD,GW,
SC0870850,HARRYS FISH CAMPGROUND (SC0870850),NC,A,BERKELEY,GW,
SC3750029,HARTS COVE AND TORY POINTE (SC3750029),C,A,OCONEE,SWP,
SC1610003,HARTSVILLE CITY OF (SC1610003),C,A,DARLINGTON,GW,
SC3570654,HAWE CREEK CG (SC3570654),NC,A,MCCORMICK,GW,
SC0670922,HEALING SPRINGS CAFE (SC0670922),NC,A,BARNWELL,GW,
SC3970909,HEART RDGE RTRT & CULT CTR (SC3970909),NC,A,PICKENS,GW,
SC2910002,HEATH SPRINGS TOWN OF (SC2910002),C,A,LANCASTER,SWP,
SC4510004,HEMINGWAY TOWN OF (SC4510004),C,A,WILLIAMSBURG,GW,
SC4660111,HENSON MHP (4660111),C,A,YORK,GW,
SC3260189,HERMITAGE MHP (SC3260189),C,A,LEXINGTON,GW,
SC1850017,HERON'S WALK PHASE 1 (SC1850017),C,A,DORCHESTER,SWP,
SC0770935,HEWITT OAKS (SC0770935),NC,A,BEAUFORT,GW,
SC4610004,HICKORY GROVE TOWN OF (SC4610004),C,A,YORK,GW,
SC0973001,HICKORY SPRINGS BOTTLING INC (SC0973001),NC,A,CALHOUN,GW,
SC3260207,HIDDEN ACRES MHP (SC3260207),C,A,LEXINGTON,GW,
SC3260140,HIDDEN OAKS MHP (SC3260140),C,A,LEXINGTON,GW,
SC3270875,HIDDEN VALLEY CC (SC3270875),NC,A,LEXINGTON,GW,
SC3260127,HIDEAWAY MHP (SC3260127),C,A,LEXINGTON,GW,
SC4320003,HIGH HILLS RURAL WATER CO INC (4320003),C,A,SUMTER,GW,
SC0170875,HIGH MEADOWS CC (0170875),NC,A,ABBEVILLE,GW,
SC3270011,HIGHLANDS AT GASTON (SC3270011),C,A,LEXINGTON,GW,
SC3770914,HIGHWAY 11 FLEA MARKET (SC3770914),NC,A,OCONEE,GW,
SC0420004,HIGHWAY 88 W/D (SC0420004),C,A,ANDERSON,SWP,
SC0670921,HILDA AUCTION (SC0670921),NC,A,BARNWELL,GW,
SC0610004,HILDA TOWN OF (SC0610004),C,A,BARNWELL,GW,
SC3270963,HILL VIEW TRUCK STOP (3270963),NC,A,LEXINGTON,GW,
SC0870851,HILLS LANDING (SC0870851),NC,A,BERKELEY,GW,
SC3260104,HILLVIEW MHP (SC3260104),C,A,LEXINGTON,GW,
SC0720006,HILTON HEAD PSD 1 (0720006),C,A,BEAUFORT,SWP,
SC3250024,HILTON SOUND (SC3250024),C,A,LEXINGTON,GW,
SC3670903,HJ SMITH PROPERTIES (SC3670903),NC,A,NEWBERRY,GW,
SC1830024,HM GRR - HARLEYVILLE (SC1830024),NTNC,A,DORCHESTER,GW,
SC1830001,HM SOUTHEAST CEMENT HARLEYVILLE 1830001,NTNC,A,DORCHESTER,GW,
SC2272003,HOG HEAVEN RESTAURANT (2272003),NC,A,GEORGETOWN,GW,
SC3810002,HOLLY HILL TOWN OF (SC3810002),C,A,ORANGEBURG,GW,
SC3970901,HOLLY SPRING COUNTRY STORE (SC3970901),NC,A,PICKENS,GW,
SC1850016,HOMECOMING SUBDIVISION (SC1850016),C,A,DORCHESTER,SWP,
SC0420001,HOMELAND PARK W/D (SC0420001),C,A,ANDERSON,SWP,
SC0410003,HONEA PATH TOWN OF (SC0410003),C,A,ANDERSON,SWP,
SC4020002,HOPKINS COMMUNITY WATER SYSTEM (4020002),C,A,RICHLAND,GW,
SC3279015,HORSE SENSE TACK & FEED (SC3279015),NC,A,LEXINGTON,GW,
SC4530004,HOUSE OF RAEFORD (SC4530004),NTNC,A,WILLIAMSBURG,GW,
SC2560008,HOUSEY GROCERY & TP (2560008),NC,A,HAMPTON,GW,
SC3772008,HUMBLE PIE RESTAURANT (SC3772008),NC,A,OCONEE,GW,
SC1971017,HWY 191 CAMP (SC1971017),NC,A,EDGEFIELD,GW,
SC4070203,HWY 378 DINER (SC4070203),NC,A,RICHLAND,GW,
SC2450001,HYDE PARK S/D (SC2450001),C,A,GREENWOOD,GW,
SC0260020,INDEPENDENT MHP (SC0260020),NC,A,AIKEN,GW,
SC4273000,INMAN CAMPOBELLO VENDING RO (SC4273000),NC,A,SPARTANBURG,SWP,
SC4220002,INMAN CAMPOBELLO W/D (4220002),C,A,SPARTANBURG,SWP,
SC1870400,INN AT MIDDLETON PLACE (SC1870400),NTNC,A,DORCHESTER,GW,
SC2230002,INTERFOR (SC2230002),NTNC,A,GEORGETOWN,GW,
SC2830001,INV CAMDEN PLANT  (SC2830001),NTNC,A,KERSHAW,SW,
SC3750008,ISAQUEENA POINT UTIL SYS (SC3750008),C,A,OCONEE,SWP,
SC0770875,ISLAND WEST (0770875),NC,A,BEAUFORT,GW,
SC1080079,ISLE OF PALMS W&S COMM RO DISPENSER,NC,A,CHARLESTON,GWP,
SC1010004,ISLE OF PALMS W/S COMM (SC1010004),C,A,CHARLESTON,SWP,
SC0410001,IVA TOWN OF (SC0410001),C,A,ANDERSON,SWP,
SC1971015,J FORREST-SATCHER CAMP (SC1971015),NC,A,EDGEFIELD,GW,
SC1971000,J W YONCE 101 (SC1971000),NC,A,EDGEFIELD,GW,
SC1971002,J W YONCE 404 (SC1971002),NC,A,EDGEFIELD,GW,
SC1971004,J W YONCE 606 (SC1971004),NTNC,A,SALUDA,GW,
SC3950002,JACABB UTIL LLC-ALDERSGATE (SC3950002),NC,A,PICKENS,GW,
SC0210002,JACKSON TOWN OF (SC0210002),C,A,AIKEN,GW,
SC2172010,JAGUAR BAR AND GRILL (SC2172010),NC,A,FLORENCE,GW,
SC3260048,JAKES LANDING (SC3260048),C,A,LEXINGTON,GW,
SC0810003,JAMESTOWN TOWN OF (SC0810003),C,A,BERKELEY,GW,
SC1070122,JANE EDWARDS ELEMENTARY (SC1070122),NTNC,A,CHARLESTON,GW,
SC3279038,JCR OF SC (SC3279038),NC,A,LEXINGTON,GW,
SC0872040,JEARLINA'S ICE CREAM & CAFE (0872040),NC,A,BERKELEY,GW,
SC1310005,JEFFERSON TOWN OF (SC1310005),C,A,CHESTERFIELD,GWP,
SC2020001,JENKINSVILLE WATER COMPANY (SC2020001),C,A,FAIRFIELD,GW,
SC1060061,JERICHO TRAILER PARK (1060061),C,A,CHARLESTON,GW,
SC3279018,JIM HUDSON CARS OF LEXINGTON (SC3279018,NC,A,LEXINGTON,GW,
SC4171011,JIMMY FORREST LABOR CAMP (SC4171011),NC,A,SALUDA,GW,
SC3770937,JOCASSEE CLUB WTR SYS (3770937),NC,A,OCONEE,GW,
SC3770927,JOCASSEE OUTDOOR CENTER (SC3770927),NC,A,OCONEE,GW,
SC3770803,JOCASSEE RV CAMP (SC3770803),NC,A,OCONEE,GW,
SC4570907,JOHNNY BOYS EXPRESS (SC4570907),NC,A,WILLIAMSBURG,GW,
SC2110011,JOHNSONVILLE CITY OF (SC2110011),C,A,FLORENCE,GW,
SC3220003,JOINT MUNICIPAL WSC (SC3220003),C,A,LEXINGTON,SWP,
SC4679002,JOKERS (SC4679002),NC,A,YORK,GW,
SC4410002,JONESVILLE TOWN OF (SC4410002),C,A,UNION,SWP,
SC0272014,JOYFUL CAFE (SC0272014),NC,A,AIKEN,GW,
SC1870912,JRS GROCERY (SC1870912),NC,A,DORCHESTER,GW,
SC0660004,JRS MHP (SC0660004),NC,A,BARNWELL,GW,
SC3272009,KATHYS BAR AND GRILL (SC3272009),NC,A,LEXINGTON,GW,
SC3279006,KEISLERS  (SC3279006),NC,A,LEXINGTON,GW,
SC4030013,KEMIRA CHEMICALS INC (SC4030013),NTNC,A,RICHLAND,GW,
SC3750026,KEOWEE BAY S/D (SC3750026),C,A,OCONEE,GW,
SC3970803,KEOWEE CAMP (SC3970803),NC,A,PICKENS,GW,
SC3750023,KEOWEE KEY UTILITY SYSTEM INC (3750023),C,A,OCONEE,SWP,
SC2910003,KERSHAW TOWN OF (SC2910003),C,A,LANCASTER,SWP,
SC1010008,KIAWAH ISLAND UTILITY (SC1010008),C,A,CHARLESTON,SWP,
SC1074005,KING GROCERY (SC1074005),NC,A,CHARLESTON,GW,
SC4670808,KINGS MOUNTAIN SP CAMPGROUND (SC4670808),NC,A,YORK,GW,
